rank,name,team,cur,pos,age,gp,mpg,usg_pct,to_pct,fta,ft_pct,2pa,2p_pct,3pa,3p_pct,efg_pct,ts_pct,ppg,rpg,apg,spg,bpg,topg,p_r,p_a,p_r_a,vi,ortg,drtg,season
,Mikal Bridges,Nyk,*,G-F,29.4,40,34.9,17.2,7.4,47,0.787,281,0.587,231,0.394,0.589,0.601,16,4.7,4.3,1.6,0.9,1,20.7,20.3,25,7.9,129.7,114.7,2025-2026
,Jalen Brunson,Nyk,*,G,29.4,37,34.5,31.3,9.9,223,0.852,487,0.536,286,0.388,0.553,0.6,28.2,3.2,6.1,0.7,0.1,2.3,31.5,34.4,37.6,9.5,124.6,115.4,2025-2026
,Guerschon Yabusele,Nyk,*,F,30.1,33,9.7,15.1,12.6,12,0.667,35,0.543,62,0.323,0.505,0.518,3.2,2.2,0.5,0.1,0.1,0.4,5.4,3.7,5.9,6.3,108.5,109.6,2025-2026
,Miles McBride,Nyk,*,G,25.4,29,27.8,16.8,7.1,34,0.853,91,0.451,197,0.431,0.585,0.604,12.6,2.5,2.6,0.7,0.2,0.8,15.1,15.2,17.7,6.2,127.6,115.4,2025-2026
,Trey Jemison,Nyk,*,C,26.1,6,6.3,7.1,46.6,1,1,3,1,0,0,1,1.017,1.2,1.7,0.2,0,0.3,0.5,2.8,1.3,3,4.7,127.3,104.7,2025-2026
,Landry Shamet,Nyk,*,G,28.8,15,20.9,15.3,7,34,0.794,27,0.519,66,0.424,0.602,0.644,9.3,2,1.2,0.4,0.2,0.5,11.3,10.5,12.5,5.4,134.1,116.6,2025-2026
,Jordan Clarkson,Nyk,*,G,33.6,40,20.1,21.2,11.4,54,0.796,175,0.526,166,0.343,0.521,0.546,10,1.8,1.4,0.5,0.2,1.1,11.8,11.3,13.2,5.8,110,112.7,2025-2026
,Tyler Kolek,Nyk,*,G,24.8,35,13.7,18.1,16.4,15,0.667,95,0.516,73,0.329,0.506,0.515,5.1,2,2.9,0.4,0.1,0.9,7.2,8,10.1,9,112.6,108.9,2025-2026
,Terance Mann,Bro,*,G-F,29.2,34,26,13.3,14.4,54,0.815,127,0.535,86,0.326,0.516,0.558,7.8,3.4,3.7,0.8,0.3,1.1,11.2,11.5,14.9,7.1,123.4,111.3,2025-2026
,Michael Porter Jr.,Bro,*,F,27.5,31,33.1,30.4,12,139,0.842,286,0.573,294,0.401,0.588,0.623,25.8,7.5,3.3,1,0.2,2.5,33.3,29.1,36.5,10.4,118,112.6,2025-2026
,Nic Claxton,Bro,*,C,26.7,36,29.7,17.8,14.3,141,0.652,312,0.596,12,0.167,0.583,0.609,13.1,7.5,4,0.7,1.4,1.5,20.5,17.1,24.6,9.9,128.5,112.2,2025-2026
,Cam Thomas,Bro,*,G,24.3,16,25.2,32.4,12.1,85,0.859,148,0.459,85,0.353,0.485,0.553,18.7,1.8,2.6,0.3,0.1,2,20.4,21.3,23.1,7,108.5,118.7,2025-2026
,Ben Saraf,Bro,*,G,19.8,12,16.9,19.5,26.9,15,0.8,29,0.448,33,0.273,0.427,0.474,5.4,1.6,2.8,0.7,0.3,1.9,7,8.3,9.8,6.8,91.7,114.7,2025-2026
,Ziaire Williams,Bro,*,F,24.3,29,22.5,17.2,12.4,60,0.867,57,0.649,147,0.313,0.52,0.573,9.1,2.4,0.7,1.1,0.5,1,11.5,9.8,12.2,4.4,109.6,112,2025-2026
,Egor Demin,Bro,*,G,19.9,34,24.9,19.4,16.7,35,0.829,92,0.424,211,0.398,0.545,0.564,10.6,3.2,3.5,0.9,0.3,1.8,13.7,14.1,17.3,7.9,109,113.6,2025-2026
,Day'Ron Sharpe,Bro,*,C,24.2,37,17.9,18.6,23.8,92,0.663,157,0.675,28,0.214,0.622,0.645,7.9,6.3,2.3,1,0.5,1.6,14.2,10.2,16.5,10.9,124.8,103.5,2025-2026
,Noah Clowney,Bro,*,F-C,21.5,38,28.5,20.6,14.8,149,0.792,132,0.53,252,0.313,0.491,0.551,13,3.9,2,0.8,0.8,1.8,17,15,18.9,6.5,108.1,111.4,2025-2026
,Tyrese Martin,Bro,*,F,26.9,31,19.6,18.9,12.1,24,0.708,92,0.478,132,0.341,0.498,0.512,7.7,3,2.1,0.7,0.1,1,10.7,9.9,12.8,7.4,107.5,116.6,2025-2026
,Jalen Wilson,Bro,*,F,25.2,26,13.6,16.1,10.1,29,0.793,36,0.444,71,0.352,0.5,0.543,5,1.1,0.5,0.3,0.1,0.5,6.1,5.5,6.5,4.1,106.5,114,2025-2026
,Drake Powell,Bro,*,G-F,20.4,28,18.6,14.9,17,34,0.882,72,0.611,64,0.313,0.544,0.59,6.4,1.7,1.6,0.6,0.2,1,8,8,9.6,5.6,111,113.9,2025-2026
